Num1,Num2,Num3,Num4,Num5,Score
3,11,12,30,38,136
3,11,12,32,38,136
3,12,29,30,38,135
3,12,29,32,38,135
3,12,30,35,38,135
3,12,32,35,38,135
11,12,29,30,38,135
11,12,29,32,38,135
11,12,30,35,38,135
11,12,32,35,38,135
3,11,12,29,38,134
3,11,12,35,38,134
3,12,21,30,38,134
3,12,21,32,38,134
3,12,27,30,38,134
3,12,27,32,38,134
11,12,21,30,38,134
11,12,21,32,38,134
11,12,27,30,38,134
11,12,27,32,38,134
3,9,12,30,38,133
3,9,12,32,38,133
3,11,12,18,38,133
3,11,12,21,38,133
3,11,12,27,38,133
3,11,12,38,40,133
3,12,14,29,38,133
3,12,14,35,38,133
3,12,19,30,38,133
3,12,19,32,38,133
3,12,29,35,38,133
9,11,12,30,38,133
9,11,12,32,38,133
11,12,14,29,38,133
11,12,14,35,38,133
11,12,19,30,38,133
11,12,19,32,38,133
11,12,29,35,38,133
12,21,29,30,38,133
12,21,29,32,38,133
12,21,30,35,38,133
12,21,32,35,38,133
12,27,29,30,38,133
12,27,29,32,38,133
3,5,12,30,38,132
3,5,12,32,38,132
3,11,12,19,38,132
3,11,12,22,38,132
3,11,12,30,32,132
3,11,12,36,38,132
3,11,30,32,38,132
3,12,14,21,38,132
3,12,14,27,38,132
3,12,18,29,38,132
3,12,18,35,38,132
3,12,21,29,38,132
3,12,21,35,38,132
3,12,27,29,38,132
3,12,27,35,38,132
3,12,29,38,40,132
3,12,30,38,39,132
3,12,32,38,39,132
3,12,35,38,40,132
5,11,12,30,38,132
5,11,12,32,38,132
9,12,29,30,38,132
9,12,29,32,38,132
9,12,30,35,38,132
9,12,32,35,38,132
11,12,14,21,38,132
11,12,14,27,38,132
11,12,18,29,38,132
11,12,18,35,38,132
11,12,21,29,38,132
11,12,21,35,38,132
11,12,27,29,38,132
11,12,27,35,38,132
11,12,29,38,40,132
11,12,30,38,39,132
11,12,32,38,39,132
11,12,35,38,40,132
12,14,29,35,38,132
12,19,29,30,38,132
12,19,29,32,38,132
12,19,30,35,38,132
12,19,32,35,38,132
12,21,27,30,38,132
12,21,27,32,38,132
3,4,12,29,38,131
3,4,12,35,38,131
3,9,12,29,38,131
3,9,12,35,38,131
3,10,12,29,38,131
3,10,12,35,38,131
3,11,12,38,39,131
