Date,Number1,Number2,Number3,Number4,Number5
,,,,,
"03
16
18
20
37
30
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"01
17
38
50
52
24
POWER PLAY X02",5,1,"$46,000,000",1*,"$46,000,000"
"11
33
44
46
47
12
POWER PLAY X02",5,1,"$35,000,000",0*,$0
"04
11
19
33
43
14
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"10
11
18
32
45
18
POWER PLAY X05",5,1,"$20,000,000",0*,$0
"01
08
10
19
20
23
POWER PLAY X02",5,1,"$37,000,000",2*,"$37,000,000"
"08
11
25
41
58
16
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"13
24
27
31
42
22
POWER PLAY X05",5,1,"$20,000,000",0*,$0
"05
10
11
12
20
02
POWER PLAY X03",5,1,"$95,000,000",1*,"$95,000,000"
"10
30
37
47
54
39
POWER PLAY X05",5,1,"$79,000,000",0*,$0
"08
20
21
32
37
04
POWER PLAY X03",5,1,"$64,000,000",0*,$0
"10
12
38
53
57
01
POWER PLAY X05",5,1,"$50,000,000",0*,$0
"14
16
53
54
59
05
POWER PLAY X03",5,1,"$35,000,000",0*,$0
"17
30
48
51
54
29
POWER PLAY X05",5,1,"$25,000,000",0*,$0
"05
08
11
40
44
10
POWER PLAY X04",5,1,"$20,000,000",0*,$0
"07
12
23
34
38
33
POWER PLAY X04",5,1,"$123,000,000",1*,"$123,000,000"
"34
38
39
45
50
33
POWER PLAY X02",5,1,"$104,000,000",0*,$0
"01
07
27
36
49
39
POWER PLAY X05",5,1,"$87,000,000",0*,$0
"20
24
25
53
59
15
POWER PLAY X05",5,1,"$72,000,000",0*,$0
"02
07
16
20
46
34
POWER PLAY X04",5,1,"$59,000,000",0*,$0
"07
17
20
39
59
17
POWER PLAY X03",5,1,"$46,000,000",0*,$0
"11
12
15
16
28
11
POWER PLAY X02",5,1,"$34,000,000",0*,$0
"12
22
32
34
46
02
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"02
06
32
42
49
35
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"14
26
37
41
46
24
POWER PLAY X05",5,1,"$60,000,000",1*,"$60,000,000"
"12
20
30
36
47
25
POWER PLAY X04",5,1,"$48,000,000",0*,$0
"13
44
51
52
55
30
POWER PLAY X04",5,1,"$35,000,000",0*,$0
"08
16
27
35
42
30
POWER PLAY X02",5,1,"$25,000,000",0*,$0
"10
24
36
52
55
15
POWER PLAY X05",5,1,"$20,000,000",0*,$0
"01
18
37
39
44
13
POWER PLAY X04",5,1,"$112,000,000",1*,"$112,000,000"
"07
20
21
34
43
34
POWER PLAY X05",5,1,"$94,000,000",0*,$0
"07
17
20
36
59
33
POWER PLAY X04",5,1,"$79,000,000",0*,$0
"10
35
39
51
57
20
POWER PLAY X05",5,1,"$62,000,000",0*,$0
"11
14
22
33
42
38
POWER PLAY X02",5,1,"$47,000,000",0*,$0
"17
20
21
40
51
19
POWER PLAY X03",5,1,"$34,000,000",0*,$0
"04
22
27
32
56
13
POWER PLAY X04",5,1,"$25,000,000",0*,$0
"16
17
29
31
36
23
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"07
10
12
22
27
26
POWER PLAY X02",5,1,"$80,000,000",1*,"$80,000,000"
"04
32
33
47
55
39
POWER PLAY X03",5,1,"$64,000,000",0*,$0
"09
33
36
50
58
31
POWER PLAY X02",5,1,"$51,000,000",0*,$0
"07
10
22
23
52
29
POWER PLAY X02",5,1,"$38,000,000",0*,$0
"04
22
26
31
52
30
POWER PLAY X05",5,1,"$25,000,000",0*,$0
"19
28
30
37
53
36
POWER PLAY X04",5,1,"$20,000,000",0*,$0
"01
16
17
41
57
15
POWER PLAY X03",5,1,"$85,000,000",1*,"$85,000,000"
"01
11
20
25
27
02
POWER PLAY X05",5,1,"$67,000,000",0*,$0
"20
30
38
46
59
27
POWER PLAY X02",5,1,"$52,000,000",0*,$0
"16
22
30
51
58
25
POWER PLAY X03",5,1,"$37,000,000",0*,$0
"22
27
35
37
45
03
POWER PLAY X04",5,1,"$27,000,000",0*,$0
"20
21
23
38
42
06
POWER PLAY X03",5,1,"$20,000,000",0*,$0
"20
21
27
28
56
04
POWER PLAY X04",5,1,"$72,000,000",1*,"$72,000,000"
"10
41
44
48
56
04
POWER PLAY X02",5,1,"$54,000,000",0*,$0
"03
10
14
52
53
03
POWER PLAY X03",5,1,"$41,000,000",0*,$0
"06
38
43
47
48
27
POWER PLAY X05",5,1,"$27,000,000",0*,$0
"13
30
32
38
57
25
POWER PLAY X04",5,1,"$20,000,000",0*,$0
"11
30
45
47
48
10
POWER PLAY X03",5,1,"$97,000,000",2*,"$97,000,000"
"09
30
31
50
54
39
POWER PLAY X03",5,1,"$78,000,000",0*,$0
"08
11
18
29
36
06
POWER PLAY X05",5,1,"$60,000,000",0*,$0
"09
12
13
35
38
30
POWER PLAY X10",5,1,"$44,000,000",0*,$0
"14
22
27
32
49
05
POWER PLAY X04",5,1,"$28,000,000",0*,$0
"18
34
40
48
59
25
POWER PLAY X04",5,1,"$20,000,000",0*,$0
"04
09
14
39
43
38
POWER PLAY X04",5,1,"$260,000,000",1*,"$260,000,000"
"01
03
24
28
41
10
POWER PLAY X04",5,1,"$220,000,000",0*,$0
"01
06
10
13
20
32
POWER PLAY X04",5,1,"$190,000,000",0*,$0
"19
20
40
47
57
29
POWER PLAY X02",5,1,"$170,000,000",0*,$0
"02
07
29
55
58
27
POWER PLAY X03",5,1,"$145,000,000",0*,$0
"15
21
23
28
36
20
POWER PLAY X02",5,1,"$120,000,000",0*,$0
"37
51
52
53
58
38
POWER PLAY X02",5,1,"$97,000,000",0*,$0
"05
22
34
41
57
31
POWER PLAY X05",5,1,"$80,000,000",0*,$0
"13
34
40
47
57
11
POWER PLAY X04",5,1,"$60,000,000",0*,$0
"16
23
25
49
58
20
POWER PLAY X04",5,1,"$45,000,000",0*,$0
"12
22
25
28
44
24
POWER PLAY X04",5,1,"$30,000,000",0*,$0
"01
12
53
56
57
05
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"11
34
41
49
55
20
POWER PLAY X02",5,1,"$252,000,000",1*,"$252,000,000"
"05
21
22
41
49
15
POWER PLAY X05",5,1,"$212,000,000",0*,$0
"06
14
32
38
52
20
POWER PLAY X03",5,1,"$175,000,000",0*,$0
"21
22
49
52
58
34
POWER PLAY X02",5,1,"$150,000,000",0*,$0
"04
36
40
44
52
33
POWER PLAY X02",5,1,"$125,000,000",0*,$0
"10
15
31
52
59
04
POWER PLAY X04",5,1,"$103,000,000",0*,$0
"05
13
17
45
54
12
POWER PLAY X05",5,1,"$81,000,000",0*,$0
"07
21
32
44
52
10
POWER PLAY X04",5,1,"$60,000,000",0*,$0
"14
20
24
39
49
07
POWER PLAY X03",5,1,"$43,000,000",0*,$0
"09
36
39
44
45
09
POWER PLAY X02",5,1,"$28,000,000",0*,$0
"24
26
45
48
55
08
POWER PLAY X02",5,1,"$20,000,000",0*,$0
"06
16
20
31
36
08
POWER PLAY X05",5,1,"$200,000,000",1*,"$200,000,000"
"17
21
37
41
50
01
POWER PLAY X02",5,1,"$170,000,000",0*,$0
"10
29
33
41
59
15
POWER PLAY X02",5,1,"$139,000,000",0*,$0
"07
09
14
45
49
23
POWER PLAY X04",5,1,"$114,000,000",0*,$0
"18
47
51
53
58
30
POWER PLAY X02",5,1,"$95,000,000",0*,$0
"04
17
35
50
57
12
POWER PLAY X02",5,1,"$76,000,000",0*,$0
"13
27
37
41
54
32
POWER PLAY X02",5,1,"$57,000,000",0*,$0
"07
08
19
26
36
15
POWER PLAY X03",5,1,"$40,000,000",0*,$0
